canonical_rule_id,original_rule_id,deconfounded_rule_id,rule_intact_pass,n_mismatches,original_bow,deconfounded_bow,original_char,deconfounded_char,original_best_token,deconfounded_best_token,original_scalar,deconfounded_scalar,original_max,deconfounded_max,delta_max,target_0_60_pass,residual_type
mentions_color,mentions_color,mentions_color_deconfounded,True,0,1.0,0.509090909090909,0.9727272727272728,0.4818181818181818,0.6272727272727273,0.5,0.44545454545454544,0.5272727272727272,1.0,0.5272727272727272,-0.4727272727272728,True,non_rule_residual_low
mentions_animal,mentions_animal,mentions_animal_deconfounded,True,0,0.9181818181818182,0.4954545454545455,0.8454545454545455,0.5045454545454545,0.5181818181818182,0.5,0.5,0.5045454545454545,0.9181818181818182,0.5045454545454545,-0.4136363636363637,True,non_rule_residual_low
food_topic,food_topic,food_topic_deconfounded,True,0,0.9,0.5,0.9409090909090909,0.5272727272727272,0.6227272727272727,0.5,0.5954545454545455,0.509090909090909,0.9409090909090909,0.5272727272727272,-0.4136363636363637,True,semantic_validator_residual_low
positive_sentiment,positive_sentiment,positive_sentiment_deconfounded,True,0,0.8545454545454545,0.5,0.85,0.5045454545454545,0.5727272727272728,0.5,0.6045454545454545,0.42727272727272725,0.8545454545454545,0.5045454545454545,-0.35,True,semantic_validator_residual_low
contains_first_name,contains_first_name,contains_first_name_deconfounded,True,0,0.9636363636363636,0.5,0.8727272727272727,0.4954545454545455,0.509090909090909,0.5,0.5045454545454545,0.5,0.9636363636363636,0.5,-0.4636363636363636,True,non_rule_residual_low
starts_with_vowel,starts_with_vowel,starts_with_vowel_deconfounded,True,0,1.0,0.5,0.9318181818181818,0.6863636363636364,0.5454545454545454,0.5,0.5,0.5136363636363637,1.0,0.6863636363636364,-0.3136363636363636,False,intrinsic_character_rule
last_word_ends_with_vowel,last_word_ends_with_vowel,last_word_ends_with_vowel_deconfounded,True,0,0.9681818181818181,0.509090909090909,0.95,0.6954545454545454,0.509090909090909,0.5,0.5,0.5,0.9681818181818181,0.6954545454545454,-0.2727272727272727,False,intrinsic_character_rule
word_count_geq_8,word_count_geq_8,word_count_geq_8_deconfounded,True,0,0.8909090909090909,0.6409090909090909,0.9272727272727272,0.6727272727272727,0.6954545454545454,0.5136363636363637,1.0,1.0,1.0,1.0,0.0,False,rule_proximal_scalar
second_word_capitalized,second_word_capitalized,second_word_capitalized_deconfounded,True,0,0.9863636363636363,0.509090909090909,0.9818181818181818,0.4727272727272727,0.6454545454545455,0.4954545454545455,0.7636363636363637,1.0,0.9863636363636363,1.0,0.013636363636363669,False,intrinsic_capitalization_scalar
even_word_count,even_word_count,even_word_count_deconfounded,True,0,0.8272727272727273,0.6045454545454545,0.8363636363636363,0.5636363636363636,0.5272727272727272,0.5045454545454545,0.6090909090909091,0.6227272727272727,0.8363636363636363,0.6227272727272727,-0.21363636363636362,False,residual_measured
passive_voice,passive_voice,passive_voice_deconfounded,True,0,0.95,0.5181818181818182,0.9636363636363636,1.0,0.7318181818181818,0.5,0.6272727272727273,0.6181818181818182,0.9636363636363636,1.0,0.036363636363636376,False,intrinsic_passive_morphology
the_appears_twice,the_appears_twice,the_appears_twice_deconfounded,True,0,0.8272727272727273,0.740909090909091,0.95,0.8909090909090909,0.7545454545454545,0.6909090909090909,0.4954545454545455,0.5045454545454545,0.95,0.8909090909090909,-0.05909090909090908,False,rule_proximal_token_count
first_word_longer_than_last,first_word_longer_than_last,first_word_longer_than_last_deconfounded,True,0,0.740909090909091,0.7090909090909091,0.7227272727272728,0.7,0.5318181818181819,0.5045454545454545,0.7090909090909091,0.6454545454545455,0.740909090909091,0.7090909090909091,-0.03181818181818186,False,rule_proximal_length_components
all_words_longer_than_3,all_words_longer_than_3,all_words_longer_than_3_deconfounded,True,0,0.8227272727272728,0.5,0.7272727272727273,0.5409090909090909,0.5045454545454545,0.5,0.6636363636363637,0.6045454545454545,0.8227272727272728,0.6045454545454545,-0.21818181818181825,False,rule_proximal_short_token
first_two_words_alphabetical,first_two_words_alphabetical,first_two_words_alphabetical_deconfounded,True,0,0.7045454545454546,0.6863636363636364,0.65,0.6454545454545455,0.5,0.4954545454545455,0.5,0.4818181818181818,0.7045454545454546,0.6863636363636364,-0.018181818181818188,False,rule_proximal_order_components
